나이,성별,스타일,일 평균 기온,일 평균 기상,일 평균 습도,일 평균 풍속,상의 카테고리,상의 색상,상의 기장,상의 소재,상의 프린트,하의 카테고리,하의 색상,하의 기장,하의 소재,하의 프린트,Cluster
20대,남성,스트리트,6.5,맑음,57.6,2.7,니트웨어,블랙,노멀,우븐,무지,팬츠,블랙,노멀,우븐,무지,5
20대,남성,스트리트,6.5,맑음,57.6,2.7,재킷,블랙,롱,가죽,무지,팬츠,블랙,롱,가죽,무지,5
20대,남성,스트리트,6.6,비,78.0,2.544143524883145,재킷,블루,노멀,가죽,무지,청바지,블루,발목,가죽,무지,17
20대,남성,스트리트,6.6,비,78.0,2.544143524883145,점퍼,블루,노멀,가죽,무지,청바지,블루,노멀,가죽,무지,17
20대,남성,스트리트,6.6,비,78.0,2.544143524883145,티셔츠,블루,노멀,가죽,무지,청바지,블루,노멀,가죽,무지,17
20대,남성,클래식,6.6,비,78.0,2.544143524883145,재킷,카키,롱,우븐,무지,팬츠,카키,롱,우븐,무지,17
20대,남성,클래식,6.6,비,78.0,2.544143524883145,패딩,카키,롱,우븐,무지,팬츠,카키,롱,우븐,무지,17
30대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,점퍼,퍼플,발목,데님,체크,팬츠,퍼플,발목,데님,체크,4
20대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,짚업,퍼플,발목,데님,체크,팬츠,퍼플,발목,데님,체크,4
10대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,후드티,퍼플,발목,데님,체크,청바지,퍼플,발목,데님,체크,4
20대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,짚업,블루,노멀,우븐,무지,팬츠,블루,노멀,우븐,무지,4
20대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,재킷,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,4
20대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,점퍼,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,4
20대,남성,스트리트,6.2,맑음,62.3,2.544143524883145,후드티,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,4
30대,남성,스트리트,2.1,맑음,50.6,3.4,패딩,블루,노멀,우븐,무지,청바지,블루,노멀,우븐,무지,10
20대,남성,스트리트,2.1,맑음,50.6,3.4,셔츠,핑크,노멀,우븐,무지,청바지,핑크,발목,우븐,무지,10
